MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
00:0c:e7:03:ec:34,28074022,-73.5,3.37746654732589,-75.0,4.047279952571622,2023,05,18,Thursday,21,22,-1.0,-1.0,PC,Zona Estudo
00:0c:e7:86:b4:1a,28074025,-83.5,12.091374198067097,-75.0,4.03604670698141,2023,05,18,Thursday,21,25,-1.0,-1.0,PC,Zona Estudo
00:0c:e7:ca:1d:f2,28075344,-87.0,15.848931924611133,-79.33333333333333,6.6782041757856385,2023,05,19,Friday,19,24,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076251,-73.78571428571429,3.8534301537728237,-89.25,21.47953938349599,2023,05,20,Saturday,10,31,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076252,-68.5,1.886770862503901,-89.0,19.9526231496888,2023,05,20,Saturday,10,32,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076254,-72.0,3.3271759030868693,-91.0,25.118864315095795,2023,05,20,Saturday,10,34,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076256,-71.66666666666667,2.7767534334971273,-92.0,28.183829312644534,2023,05,20,Saturday,10,36,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076258,-74.16666666666667,3.835361230059871,-94.0,35.48133892335755,2023,05,20,Saturday,10,38,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076260,-72.71428571428571,3.310618082134257,-87.5,16.81586301250018,2023,05,20,Saturday,10,40,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076262,-72.16666666666667,3.0520909165390115,-93.0,31.83258411800104,2023,05,20,Saturday,10,42,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076264,-70.71428571428571,2.5525240198548715,-94.0,35.48133892335755,2023,05,20,Saturday,10,44,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076266,-71.42857142857143,2.6965134120886085,-90.0,22.486232950155998,2023,05,20,Saturday,10,46,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076267,-79.83333333333333,7.082569322258685,-95.0,39.81071705534973,2023,05,20,Saturday,10,47,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076268,-70.83333333333333,2.5153605731703235,-90.0,22.3872113856834,2023,05,20,Saturday,10,48,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076270,-73.42857142857143,3.8434256320831746,-91.0,25.118864315095795,2023,05,20,Saturday,10,50,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076272,-70.16666666666667,2.2842486873918797,-88.0,17.78279410038923,2023,05,20,Saturday,10,52,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076274,-71.57142857142857,2.86111246187394,-87.66666666666667,17.21682899963702,2023,05,20,Saturday,10,54,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076276,-71.0,2.609296027336872,-88.66666666666667,19.583530113365384,2023,05,20,Saturday,10,56,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076278,-69.66666666666667,2.1625192755921496,-87.5,16.81586301250018,2023,05,20,Saturday,10,58,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076280,-69.66666666666667,2.182389286286599,-88.0,17.78279410038923,2023,05,20,Saturday,11,00,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076282,-69.6,2.1525740867308123,-91.0,25.285520349163967,2023,05,20,Saturday,11,02,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076284,-70.5,2.3975983037253097,-87.4,16.75379244858447,2023,05,20,Saturday,11,04,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076286,-71.28571428571429,2.721938204245808,-86.0,14.58735393688337,2023,05,20,Saturday,11,06,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076288,-72.0,2.981426066215437,-85.8,14.498900083463855,2023,05,20,Saturday,11,08,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076290,-69.75,2.201042469042773,-87.0,16.237693218615938,2023,05,20,Saturday,11,10,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076292,-70.83333333333333,2.503572333843209,-89.33333333333333,22.39306759085994,2023,05,20,Saturday,11,12,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076294,-69.5,2.1263554581038235,-87.75,18.170313244300743,2023,05,20,Saturday,11,14,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076296,-67.0,1.5848931924611136,-89.0,20.040876211920477,2023,05,20,Saturday,11,16,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076298,-71.875,2.8757783546291544,-89.5,21.73360491318517,2023,05,20,Saturday,11,18,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076300,-69.71428571428571,2.2551050423485632,-87.25,17.64420538709315,2023,05,20,Saturday,11,20,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076302,-71.875,3.1333057292083746,-90.0,22.3872113856834,2023,05,20,Saturday,11,22,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076304,-69.16666666666667,2.0358387855687896,-89.0,20.228150838624753,2023,05,20,Saturday,11,24,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076306,-68.83333333333333,1.9635111505921372,-87.75,17.788102326985026,2023,05,20,Saturday,11,26,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076308,-69.28571428571429,2.214038250829718,-88.66666666666667,19.960564387288933,2023,05,20,Saturday,11,28,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076310,-68.85714285714286,2.082236928379442,-87.4,16.980679204830512,2023,05,20,Saturday,11,30,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076312,-69.42857142857143,2.2315072568035332,-88.0,17.900777537149967,2023,05,20,Saturday,11,32,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076314,-68.28571428571429,1.9713639301045944,-88.33333333333333,18.672979136894586,2023,05,20,Saturday,11,34,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076316,-70.85714285714286,2.586324524919919,-86.75,15.47061922936386,2023,05,20,Saturday,11,36,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076318,-69.71428571428571,2.400103545052963,-86.66666666666667,15.40699338098068,2023,05,20,Saturday,11,38,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076320,-68.85714285714286,2.16034581621604,-89.5,21.844238706418132,2023,05,20,Saturday,11,40,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076321,-77.0,5.078523916193858,-96.0,44.6683592150963,2023,05,20,Saturday,11,41,-1.0,-1.0,PC,Zona Estudo
